axis,level,n,n_pos,n_neg,auroc,auroc_ci_low,auroc_ci_high,auprc,f1,brier,ece,fpr,fnr
sex,F,1251,65,1186,0.9389674406537813,0.9134249361153848,0.9610791576420117,0.3911730138516282,0.43724696356275305,0.08414651100527679,0.09264622923029434,0.10792580101180438,0.16923076923076924
sex,M,1175,29,1146,0.9305530480832882,0.9062362120261919,0.95659822613172,0.3132839981801202,0.26285714285714284,0.08588421350605212,0.09895099439620142,0.10732984293193717,0.20689655172413793
race_ethnicity,white,1392,52,1340,0.9315298507462686,0.9087848811321578,0.9578387825805749,0.33353654966113483,0.34210526315789475,0.08532505295515555,0.08922476887289185,0.10223880597014925,0.25
race_ethnicity,hispanic,317,15,302,0.9485651214128035,0.921172638436482,0.9708759954493742,0.467833376070376,0.45901639344262296,0.07824163045386101,0.09710292175457061,0.10596026490066225,0.06666666666666667
race_ethnicity,black,459,20,439,0.9456719817767654,0.9042536806451774,0.9660066554071544,0.3846583592124148,0.4,0.08429529369864106,0.10271128612886041,0.11845102505694761,0.1
race_ethnicity,asian,126,1,125,0.92,0.9107142857142857,0.92,0.09090909090909091,0.13333333333333333,0.092930565416537,0.11858597044325535,0.104,0.0
race_ethnicity,other,132,6,126,0.9457671957671958,0.8863636363636364,0.9666666666666667,0.4770833333333333,0.35714285714285715,0.0924649584818342,0.1154095113250316,0.1349206349206349,0.16666666666666666
ses_proxy,low,862,37,825,0.9281572481572482,0.8802811844192128,0.9619507775132281,0.36625148940528757,0.37735849056603776,0.0865376480566092,0.0953855135354312,0.11151515151515151,0.1891891891891892
ses_proxy,middle,992,42,950,0.9407769423558898,0.9227759852589785,0.9588243072516685,0.42279526219081315,0.38636363636363635,0.08296383531850299,0.09345188931928121,0.10526315789473684,0.19047619047619047
ses_proxy,high,572,15,557,0.9419509275882706,0.9166491116237655,0.9782804984493101,0.2785133651862454,0.2988505747126437,0.08616373929451122,0.1013994933266849,0.1059245960502693,0.13333333333333333
region,temperate,1450,59,1391,0.9368701945923552,0.9089697852990763,0.9606054324009214,0.3711518491189322,0.38910505836575876,0.08543979924039018,0.09445926388336687,0.10639827462257369,0.15254237288135594
region,cold,590,16,574,0.9278092334494773,0.8937300580050744,0.9536332177076742,0.1837383897679069,0.26262626262626265,0.09350724213232725,0.11428429345410762,0.12195121951219512,0.1875
region,hot,386,19,367,0.946651369568335,0.9324981347005545,0.9784826930999883,0.486725418737153,0.42424242424242425,0.07027008906884366,0.07230188066969653,0.08991825613079019,0.2631578947368421
device_gen,new,1726,58,1668,0.9484929297940957,0.9327304205203507,0.9622427834674107,0.35755784486478603,0.3472222222222222,0.08396018915309615,0.0994417087216792,0.1079136690647482,0.13793103448275862
device_gen,old,700,36,664,0.9182145247657296,0.8879275685325331,0.9541108455969173,0.3516081421309641,0.40298507462686567,0.08752278522709792,0.09308104537820067,0.10692771084337349,0.25
has_depression,0,2301,93,2208,0.9354254324450677,0.9160381438414716,0.9522639671701194,0.3403423699956957,0.37346437346437344,0.08531006980193441,0.09505915750273553,0.10778985507246377,0.1827956989247312
has_depression,1,125,1,124,1.0,1.0,1.0,1.0,0.13333333333333333,0.07906212418369134,0.10749383815072361,0.10483870967741936,0.0
has_anxiety,0,2044,61,1983,0.9465043029686764,0.9317047829943603,0.9598568938544161,0.3065289530523444,0.3176470588235294,0.08709998686475881,0.10505987367508038,0.11346444780635401,0.11475409836065574
has_anxiety,1,382,33,349,0.9318398888599462,0.9018158008678654,0.9628326730393262,0.5827221719547878,0.5609756097560976,0.07368812299907188,0.06990621681763456,0.07449856733524356,0.30303030303030304
age_band,18-24,869,31,838,0.94722457464008,0.929985621578212,0.9715548105417374,0.3674694879786634,0.3401360544217687,0.08747423033503637,0.09932798045094066,0.10859188544152745,0.1935483870967742
age_band,35-49,703,33,670,0.9223428312980552,0.8822432931977442,0.9565042837314592,0.3454298356400346,0.416,0.08540824742599522,0.08966862625424939,0.09850746268656717,0.21212121212121213
age_band,25-34,716,28,688,0.9438849667774086,0.9124358274537591,0.9626702243906159,0.4451676343583998,0.384,0.07546232245263243,0.09281310860586668,0.10610465116279069,0.14285714285714285
age_band,50-64,138,2,136,0.9595588235294118,0.9595588235294118,0.9841269841269842,0.20833333333333331,0.16,0.11661673303990173,0.14307739404257125,0.15441176470588236,0.0
