axis,level,n,n_pos,n_neg,auroc,auroc_ci_low,auroc_ci_high,auprc,f1,brier,ece,fpr,fnr
sex,F,935,346,589,0.4894157826040021,0.3526490334482317,0.6416487079187565,0.38687348403181454,0.3323529411764706,0.37834246630774887,0.346770590901086,0.37521222410865873,0.6734104046242775
sex,M,884,279,605,0.7047187416688884,0.5673757238365672,0.8180866703035783,0.5432611788112474,0.5115511551155115,0.23727124324878712,0.15595237689268698,0.28429752066115704,0.4444444444444444
race_ethnicity,white,1036,323,713,0.6621218502902748,0.5507069765268982,0.7769264000456567,0.4923457047879233,0.44992743105950656,0.2536338186600056,0.19186314031221946,0.2959326788218794,0.5201238390092879
race_ethnicity,hispanic,225,104,121,0.5802606484424666,0.3041346973572037,0.823943661971831,0.5575527401002285,0.37583892617449666,0.30994124494982245,0.24930865053501394,0.14049586776859505,0.7307692307692307
race_ethnicity,black,370,139,231,0.3996387305739823,0.22196173306146888,0.815,0.3625120845555131,0.31417624521072796,0.41120572529728655,0.3854994225366091,0.35064935064935066,0.7050359712230215
race_ethnicity,asian,91,40,51,0.6916666666666667,0.6115288220551379,0.7417763157894737,0.6354653849871185,0.6206896551724138,0.2869018123106683,0.2767730205406814,0.39215686274509803,0.325
race_ethnicity,other,97,19,78,0.5850202429149798,0.5850202429149798,0.9136212624584718,0.3707370716615521,0.34,0.5437359330302093,0.5922622253599855,0.8205128205128205,0.10526315789473684
ses_proxy,low,705,214,491,0.5580543236195443,0.35146369970739505,0.7845467581248186,0.40282881350314453,0.3985239852398524,0.3450401085284416,0.3088634277766584,0.4480651731160896,0.4953271028037383
ses_proxy,middle,704,277,427,0.640891451567903,0.5138247756096139,0.7446172763112442,0.5333849775765606,0.4581673306772908,0.27654875413195196,0.2102270819218988,0.2576112412177986,0.5848375451263538
ses_proxy,high,410,134,276,0.540395846852693,0.38727496933011574,0.7829981001486436,0.4051436495331979,0.371900826446281,0.306230208800555,0.25566899392117814,0.22826086956521738,0.664179104477612
region,temperate,1053,330,723,0.5552873129636615,0.4011494457694653,0.729268608577957,0.4092673666115131,0.37677053824362605,0.30847418647668956,0.25694932619725325,0.3360995850622407,0.5969696969696969
region,cold,451,96,355,0.6925176056338027,0.5573353817108272,0.8315151169163317,0.42087351044109755,0.4473684210526316,0.2998032328704512,0.2930486727451199,0.39436619718309857,0.2916666666666667
region,hot,315,199,116,0.6810778028071391,0.5546855580412627,0.871114325815866,0.7925701263227886,0.4855072463768116,0.32845526554014426,0.32200230261946605,0.08620689655172414,0.6633165829145728
device_gen,new,1278,386,892,0.6174254745695764,0.4843528538730956,0.7703178519720904,0.4885530254209587,0.44552058111380144,0.2661880479609433,0.21889237061318545,0.28699551569506726,0.5233160621761658
device_gen,old,541,239,302,0.4945689822383552,0.29238044706093863,0.743840141413942,0.4310380900714348,0.3652173913043478,0.412772014298683,0.39173622154320853,0.45364238410596025,0.6485355648535565
has_depression,0,1755,601,1154,0.5750583227838063,0.46233738757080733,0.680020054377415,0.4335577908434701,0.41752988047808764,0.3130449326705612,0.2567579551824127,0.3396880415944541,0.5640599001663894
has_depression,1,64,24,40,0.7229166666666667,0.7229166666666667,0.7417763157894737,0.7211898873743317,0.3870967741935484,0.22037700301309462,0.22537350208949644,0.025,0.75
has_anxiety,0,1507,321,1186,0.6572735916954291,0.5540633491696071,0.7652917262404908,0.399909245269953,0.40625,0.2695723552586664,0.25438477377627877,0.33136593591905567,0.43302180685358255
has_anxiety,1,312,304,8,0.956825657894737,0.8380176916688521,0.9782608695652174,0.9988142809107381,0.441025641025641,0.5040142488937909,0.6397841366527316,0.0,0.7171052631578947
age_band,18-24,619,186,433,0.6484889120663537,0.5324843271040615,0.7961287025962592,0.46918709274372294,0.4563106796116505,0.2641695014678472,0.19998380259282722,0.30484988452655887,0.4946236559139785
age_band,35-49,542,268,274,0.6922731234339253,0.5230146791190254,0.8498272129758391,0.6814306476814388,0.45925925925925926,0.28882325593545843,0.23776754856709312,0.16058394160583941,0.6529850746268657
age_band,25-34,535,137,398,0.45646113780581743,0.2921121290834303,0.7735139716833345,0.28363228837496135,0.28205128205128205,0.41834846381816215,0.42813321108468505,0.49748743718592964,0.5985401459854015
age_band,50-64,123,34,89,0.8631857237276933,0.7896890343698855,0.9583333333333334,0.773008964129451,0.6582278481012658,0.159499437084068,0.17398397548775363,0.21348314606741572,0.23529411764705882
