axis,level,n,n_pos,n_neg,auroc,auroc_ci_low,auroc_ci_high,auprc,f1,brier,ece,fpr,fnr
sex,F,935,371,564,0.7837596299057561,0.7100218604808128,0.8557591455978683,0.7483444288328831,0.6318407960199005,0.1948462009863473,0.11021174859096179,0.3173758865248227,0.31536388140161725
sex,M,884,276,608,0.7041142257818458,0.610531829135837,0.8027519113125955,0.6137434688634444,0.5175202156334232,0.26051897605047075,0.227860993937467,0.4506578947368421,0.30434782608695654
race_ethnicity,white,1036,391,645,0.6836614524475109,0.6209627481990431,0.7632531594327123,0.63589892951987,0.5481171548117155,0.26042876071582505,0.205326314508541,0.4697674418604651,0.329923273657289
race_ethnicity,hispanic,225,66,159,0.7206022489041358,0.677025782688766,0.8244490768314473,0.6078232133217498,0.4935064935064935,0.20920987498806345,0.15153350479900837,0.31446540880503143,0.42424242424242425
race_ethnicity,black,370,144,226,0.8762598328416914,0.7607385398981323,0.9408446712018139,0.8424002437025342,0.7428571428571429,0.1365812025169651,0.042889768124331505,0.1415929203539823,0.2777777777777778
race_ethnicity,asian,91,16,75,0.84,0.76953125,0.9331395348837209,0.6307444321438629,0.5,0.14882808520803828,0.20913812448526475,0.26666666666666666,0.25
race_ethnicity,other,97,30,67,0.8233830845771144,0.725925925925926,0.8975,0.7160282447019791,0.5555555555555556,0.3250015885745698,0.40086863397322975,0.7164179104477612,0.0
ses_proxy,low,705,235,470,0.7354730647351743,0.6495460768714345,0.8217597590777423,0.6519819192451364,0.559375,0.2598293944959274,0.23336035002234348,0.4808510638297872,0.23829787234042554
ses_proxy,middle,704,230,474,0.7171069528526876,0.6142313962142378,0.8026839666967438,0.6332354545636484,0.5200764818355641,0.21632061270275724,0.1624648583317387,0.33122362869198313,0.40869565217391307
ses_proxy,high,410,182,228,0.8008482745324852,0.7076215758376817,0.8885076358064896,0.7959476624230778,0.6840731070496083,0.18783058119141702,0.08255509608765926,0.30701754385964913,0.2802197802197802
region,temperate,1053,380,673,0.7388206772503324,0.6430968998613796,0.8184436547148504,0.6850617852979138,0.578021978021978,0.23465696548695159,0.18479402788630836,0.3967310549777117,0.3078947368421053
region,cold,451,154,297,0.7534653898290262,0.6933712754066821,0.8208620480632972,0.669319602191693,0.578125,0.22034531121204592,0.17077874470328677,0.4006734006734007,0.2792207792207792
region,hot,315,113,202,0.7519495312363095,0.6308963352718545,0.8926384800775787,0.6886039524342906,0.5714285714285714,0.2095569928141529,0.14099748065429077,0.3316831683168317,0.36283185840707965
device_gen,new,1278,419,859,0.7509342327899734,0.6721582031235519,0.8370830238835744,0.6765665764634605,0.5623188405797102,0.22732956621742864,0.18343977918790097,0.37834691501746215,0.3054892601431981
device_gen,old,541,228,313,0.727944061431534,0.6648278818921973,0.7958144733969691,0.700149931350116,0.6066536203522505,0.22542104829016096,0.13973576417829767,0.40894568690095845,0.3201754385964912
has_depression,0,1755,637,1118,0.7368085530620669,0.6747627813102356,0.7948778083692684,0.6777736450993166,0.5787401574803149,0.23126058986906642,0.17275145500951428,0.39892665474060823,0.3076923076923077
has_depression,1,64,10,54,0.8703703703703705,0.5,0.9331395348837209,0.6678001443001443,0.45454545454545453,0.1034005864162397,0.12325165601214394,0.12962962962962962,0.5
has_anxiety,0,1507,485,1022,0.7171908729598322,0.6552147598607866,0.7763381436214283,0.6200273624876683,0.5316666666666666,0.2362302053036408,0.1856629132202319,0.38747553816046965,0.3422680412371134
has_anxiety,1,312,162,150,0.8171604938271605,0.6967612515689439,0.9101154380070219,0.8407627042917911,0.7341040462427746,0.1810290171739235,0.10430653368194517,0.38,0.21604938271604937
age_band,18-24,619,255,364,0.7035337211807801,0.6457489593649995,0.7753295663001546,0.6823575951970228,0.576271186440678,0.2262536241395601,0.13885595612769558,0.33791208791208793,0.4
age_band,35-49,542,200,342,0.8099122807017544,0.7101082863684125,0.883896379744594,0.7771786674624352,0.6430155210643016,0.18622356989810418,0.12792532474861043,0.30994152046783624,0.275
age_band,25-34,535,169,366,0.716235005011802,0.6427897943184834,0.8109901783293484,0.6059671103469608,0.5311203319502075,0.2633823057968378,0.23764414498321362,0.505464480874317,0.24260355029585798
age_band,50-64,123,23,100,0.8595652173913043,0.8595652173913043,0.953551912568306,0.7301107081766925,0.4878048780487805,0.24866886928766258,0.28392429665730495,0.39,0.13043478260869565
