axis,level,n,n_pos,n_neg,auroc,auroc_ci_low,auroc_ci_high,auprc,f1,brier,ece,fpr,fnr
sex,F,1251,192,1059,0.584921899590809,0.5171968403882021,0.6682099554212955,0.2288000932909338,0.2595078299776286,0.2151638715383983,0.2686899609560017,0.18602455146364494,0.6979166666666666
sex,M,1175,142,1033,0.6654281935563039,0.5886886564591822,0.7453506999121328,0.21146767852620393,0.27450980392156865,0.19370058049400138,0.2747313163889216,0.1606969990319458,0.6549295774647887
race_ethnicity,white,1392,197,1195,0.624157339167003,0.5515946700257135,0.702777644541503,0.22578035417778286,0.2681818181818182,0.1938150216189216,0.24950680226601402,0.15397489539748954,0.700507614213198
race_ethnicity,hispanic,317,31,286,0.7131739228513423,0.5609861591695502,0.8253158406219632,0.284396127968505,0.2875816993464052,0.27733330693831004,0.4134613099722456,0.34965034965034963,0.2903225806451613
race_ethnicity,black,459,41,418,0.635721787839888,0.5282846150181056,0.721044477283807,0.18098924500179986,0.20869565217391303,0.19341117301102018,0.31870025221039266,0.14832535885167464,0.7073170731707317
race_ethnicity,asian,126,14,112,0.6728316326530612,0.46296296296296297,0.8367346938775511,0.24033321868384608,0.26666666666666666,0.18826694828009188,0.30154870876244133,0.10714285714285714,0.7142857142857143
race_ethnicity,other,132,51,81,0.7676107480029049,0.4380952380952381,0.7676107480029049,0.6397492994935581,0.30303030303030304,0.2012549476261731,0.17881987740596136,0.06172839506172839,0.803921568627451
ses_proxy,low,862,105,757,0.5976850978171983,0.507241819605347,0.68513303136419,0.20324366987841094,0.23048327137546468,0.19567078760829598,0.27379692784940557,0.17569352708058125,0.7047619047619048
ses_proxy,middle,992,140,852,0.637625754527163,0.5437438722956858,0.7457166456237894,0.24866544864522022,0.3157894736842105,0.2168850767068343,0.29391114343137986,0.19248826291079812,0.5928571428571429
ses_proxy,high,572,89,483,0.6546165119687347,0.5174574452009579,0.7280265089511248,0.2285839694839542,0.21839080459770116,0.19746498315289718,0.2296636919979449,0.13664596273291926,0.7865168539325843
region,temperate,1450,213,1237,0.6472648881703045,0.5867382946441746,0.7076725855714137,0.2409305769352998,0.2813852813852814,0.1922817223871282,0.2453360819816589,0.14874696847210994,0.6948356807511737
region,cold,590,77,513,0.6027695501379712,0.47952038168934974,0.781073085643003,0.2455434825614093,0.25142857142857145,0.1969279009426091,0.2769602759157197,0.14814814814814814,0.7142857142857143
region,hot,386,44,342,0.6021398192450824,0.4708949360759946,0.6616228537587707,0.18152408767074332,0.23952095808383234,0.2636586175065095,0.36797164592872633,0.30116959064327486,0.5454545454545454
device_gen,new,1726,202,1524,0.6492489800161119,0.589366780895535,0.710378179088461,0.22859770710745714,0.2729124236252546,0.19000753096167283,0.28150116054822505,0.14566929133858267,0.6683168316831684
device_gen,old,700,132,568,0.5758776141698677,0.4713707858488138,0.6814633229940985,0.2255634732214556,0.25559105431309903,0.2411645527644866,0.24927520660417418,0.2482394366197183,0.696969696969697
has_depression,0,2301,288,2013,0.6433977755699067,0.5913410703285583,0.7023291942899346,0.21827456265922307,0.27994616419919244,0.20117390961110604,0.2842322817345072,0.17436661698956782,0.6388888888888888
has_depression,1,125,46,79,0.4025866813428729,0.4025866813428729,0.6046875,0.33599043924756833,0.09836065573770492,0.2709361548786632,0.11133759951591495,0.1518987341772152,0.9347826086956522
has_anxiety,0,2044,295,1749,0.626157319921311,0.5643375160214134,0.6889773511790184,0.23022543439280613,0.2676470588235294,0.20592947068869807,0.2652456671320295,0.1680960548885077,0.6915254237288135
has_anxiety,1,382,39,343,0.6215892950586829,0.5548132402064986,0.689271383139621,0.1734883344767191,0.25806451612903225,0.19855588295101856,0.3057023410865774,0.20116618075801748,0.5897435897435898
age_band,18-24,869,159,710,0.6273894941978918,0.5460797195763321,0.7061981177737661,0.26111633037403514,0.25949367088607594,0.20930751306478038,0.22141619961198644,0.16338028169014085,0.7421383647798742
age_band,35-49,703,65,638,0.6995659512900892,0.630236028016743,0.7715734666875249,0.18322549453416304,0.2914572864321608,0.19219106992033086,0.3169729757529404,0.164576802507837,0.5538461538461539
age_band,25-34,716,93,623,0.5812837639586461,0.48631666109811783,0.704518842903335,0.23129606224430244,0.24193548387096775,0.21542503786943848,0.2861491246721265,0.20064205457463885,0.6774193548387096
age_band,50-64,138,17,121,0.701507049100632,0.6744868035190617,0.701507049100632,0.31502247172109077,0.34146341463414637,0.18496599458828417,0.2812680089171382,0.14049586776859505,0.5882352941176471
